Id,LotShape_code,LandSlope_code,ExterQual_code,ExterCond_code,BsmtQual_code,BsmtCond_code,BsmtExposure_code,BsmtFinType1_code,BsmtFinType2_code,HeatingQC_code,KitchenQual_code,Functional_code,FireplaceQu_code,GarageFinish_code,GarageQual_code,GarageCond_code,PavedDrive_code,PoolQC_code,Fence_code,SalePrice
22,4,3,3,3,3.0,3.0,1.0,0.0,0.0,5,4,8,4.0,1.0,3.0,3.0,0,0.0,4.0,139400
23,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,230000
24,4,3,3,3,4.0,3.0,1.0,5.0,0.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,129900
25,3,3,3,4,3.0,3.0,2.0,2.0,4.0,5,4,8,3.0,1.0,3.0,3.0,2,0.0,2.0,154000
26,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,256300
27,4,3,3,3,3.0,3.0,2.0,3.0,2.0,3,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,134800
28,4,3,4,3,5.0,3.0,1.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,306000
29,3,3,3,3,3.0,3.0,4.0,3.0,0.0,3,3,8,4.0,2.0,3.0,3.0,2,0.0,0.0,207500
30,3,3,3,3,3.0,3.0,1.0,0.0,0.0,2,2,8,0.0,1.0,2.0,3.0,2,0.0,0.0,68500
31,4,3,3,2,3.0,3.0,1.0,0.0,0.0,3,3,8,0.0,1.0,3.0,2.0,0,0.0,2.0,40000
32,3,3,3,3,3.0,3.0,1.0,0.0,0.0,4,4,8,0.0,1.0,3.0,3.0,2,0.0,2.0,149350
33,4,3,4,3,5.0,3.0,3.0,0.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,179900
34,3,3,3,3,3.0,3.0,1.0,2.0,0.0,4,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,165500
35,4,3,5,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,277500
36,4,3,4,3,5.0,3.0,3.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,309000
37,4,3,3,3,4.0,3.0,1.0,0.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,145000
38,4,3,3,3,3.0,3.0,1.0,2.0,0.0,4,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,153000
39,4,3,3,4,3.0,3.0,1.0,5.0,0.0,3,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,109000
40,4,3,3,3,0.0,0.0,0.0,0.0,0.0,3,2,8,0.0,0.0,0.0,0.0,0,0.0,0.0,82000
41,4,3,3,3,3.0,3.0,1.0,2.0,0.0,5,3,8,3.0,2.0,3.0,3.0,2,0.0,3.0,160000
42,4,3,3,4,3.0,3.0,4.0,3.0,0.0,4,3,8,4.0,2.0,3.0,3.0,1,0.0,0.0,170000
43,3,3,3,3,4.0,3.0,3.0,4.0,1.0,4,4,8,0.0,2.0,3.0,4.0,2,0.0,2.0,144000
44,3,3,3,3,4.0,3.0,3.0,1.0,3.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,130250
45,4,3,3,3,3.0,3.0,1.0,4.0,3.0,5,3,8,0.0,2.0,3.0,3.0,2,0.0,0.0,141000
46,4,3,5,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,2.0,3.0,3.0,2,0.0,0.0,319900
47,3,3,4,3,5.0,3.0,1.0,5.0,0.0,5,4,8,5.0,2.0,3.0,3.0,2,0.0,0.0,239686
48,4,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,249700
49,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,0.0,0.0,0.0,0,0.0,0.0,113000
50,4,3,3,3,3.0,3.0,1.0,3.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,127000
51,2,3,3,3,4.0,3.0,3.0,5.0,0.0,4,3,8,0.0,3.0,3.0,3.0,2,0.0,0.0,177000
52,4,3,3,3,3.0,3.0,1.0,0.0,0.0,3,3,8,4.0,1.0,3.0,3.0,2,0.0,2.0,114500
53,2,2,2,3,4.0,3.0,4.0,1.0,5.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,110000
54,3,3,4,3,5.0,3.0,4.0,5.0,0.0,4,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,385000
55,4,2,3,3,3.0,3.0,1.0,4.0,0.0,3,3,7,3.0,1.0,3.0,3.0,2,0.0,2.0,130000
56,3,3,3,3,3.0,3.0,1.0,3.0,0.0,4,3,8,4.0,2.0,3.0,3.0,2,0.0,0.0,180500
57,4,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,3.0,3.0,3.0,2,0.0,0.0,172500
58,3,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,196500
59,2,3,5,3,5.0,3.0,4.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,438780
60,4,3,3,3,3.0,3.0,3.0,4.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,124900
61,4,3,3,3,4.0,3.0,1.0,4.0,0.0,5,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,158000
62,4,3,3,3,3.0,2.0,1.0,0.0,0.0,3,2,8,0.0,1.0,3.0,3.0,0,0.0,0.0,101000
63,3,3,4,3,4.0,4.0,2.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,202500
64,3,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,4.0,140000
65,4,3,3,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,4.0,219500
66,4,3,4,3,5.0,3.0,3.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,317000
67,4,3,3,3,4.0,3.0,4.0,5.0,0.0,3,3,7,4.0,2.0,3.0,3.0,2,0.0,0.0,180000
68,3,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,226000
69,4,3,3,4,3.0,3.0,1.0,0.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,80000
70,4,3,4,3,3.0,3.0,1.0,3.0,0.0,3,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,225000
71,3,3,3,4,4.0,3.0,4.0,4.0,0.0,5,3,8,4.0,3.0,3.0,3.0,2,0.0,0.0,244000
72,4,3,3,3,3.0,3.0,1.0,4.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,129500
73,3,3,3,3,4.0,3.0,1.0,0.0,0.0,4,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,185000
74,4,3,3,3,3.0,3.0,1.0,4.0,3.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,3.0,144900
75,4,3,4,4,2.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,107400
76,4,3,3,3,4.0,3.0,4.0,5.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,3.0,91000
77,3,3,3,3,3.0,3.0,1.0,4.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,135750
78,4,3,3,3,3.0,3.0,1.0,3.0,5.0,3,3,7,0.0,1.0,3.0,3.0,2,0.0,2.0,127000
79,4,3,3,3,3.0,3.0,1.0,0.0,0.0,3,3,8,0.0,0.0,0.0,0.0,2,0.0,0.0,136500
80,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,110000
81,4,3,3,4,4.0,3.0,1.0,2.0,0.0,3,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,193500
82,4,3,3,4,5.0,4.0,1.0,5.0,0.0,5,3,8,0.0,3.0,3.0,3.0,2,0.0,0.0,153500
83,4,3,3,3,4.0,3.0,1.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,245000
84,3,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,126500
85,3,3,3,3,4.0,3.0,1.0,0.0,0.0,4,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,168500
86,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,3.0,1.0,3.0,3.0,2,0.0,0.0,260000
87,2,3,4,3,4.0,3.0,3.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,174000
88,4,3,4,3,4.0,3.0,3.0,0.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,164500
89,3,3,2,2,3.0,2.0,1.0,0.0,0.0,3,2,8,0.0,0.0,0.0,0.0,0,0.0,2.0,85000
90,4,3,3,3,4.0,3.0,1.0,5.0,0.0,5,3,8,0.0,0.0,0.0,0.0,2,0.0,0.0,123600
91,4,3,3,3,0.0,0.0,0.0,0.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,109900
92,4,3,3,3,3.0,3.0,1.0,2.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,3.0,98600
93,3,3,3,4,4.0,3.0,1.0,4.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,163500
94,4,3,3,3,3.0,2.0,2.0,2.0,0.0,5,3,8,4.0,1.0,3.0,3.0,2,0.0,0.0,133900
95,3,3,3,4,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,204750
96,2,3,5,4,4.0,4.0,1.0,4.0,0.0,4,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,185000
97,3,3,4,3,4.0,3.0,3.0,4.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,214000
98,4,3,3,3,3.0,3.0,1.0,2.0,0.0,3,3,8,0.0,3.0,3.0,3.0,1,0.0,0.0,94750
99,4,3,3,3,3.0,3.0,1.0,4.0,0.0,2,3,8,0.0,1.0,2.0,3.0,2,0.0,0.0,83000
100,3,3,3,3,3.0,3.0,1.0,4.0,0.0,2,3,8,0.0,0.0,0.0,0.0,2,0.0,0.0,128950
101,3,3,3,3,3.0,3.0,2.0,4.0,0.0,4,4,8,3.0,2.0,3.0,3.0,2,0.0,0.0,205000
102,4,3,4,3,4.0,3.0,1.0,0.0,0.0,3,4,8,3.0,3.0,3.0,3.0,2,0.0,0.0,178000
103,4,3,3,2,0.0,0.0,0.0,0.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,118964
104,3,3,3,3,4.0,3.0,1.0,0.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,198900
105,4,3,3,2,3.0,3.0,1.0,1.0,0.0,5,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,169500
106,4,3,4,3,5.0,3.0,1.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,250000
107,4,3,3,3,2.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,2.0,2.0,0,0.0,0.0,100000
108,4,3,3,3,3.0,3.0,1.0,4.0,3.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,115000
109,4,3,3,3,3.0,3.0,1.0,0.0,0.0,3,2,8,0.0,0.0,0.0,0.0,0,0.0,0.0,115000
110,3,3,3,3,4.0,3.0,1.0,3.0,0.0,5,3,8,3.0,2.0,3.0,3.0,2,0.0,2.0,190000
111,4,3,3,3,3.0,2.0,1.0,2.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,136900
112,3,3,3,3,4.0,3.0,1.0,5.0,0.0,5,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,180000
113,4,3,4,3,5.0,3.0,3.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,383970
114,4,3,3,4,4.0,3.0,2.0,4.0,2.0,3,4,8,4.0,1.0,3.0,3.0,2,0.0,2.0,217000
115,3,2,3,3,3.0,3.0,1.0,4.0,1.0,5,4,8,3.0,1.0,3.0,3.0,2,0.0,2.0,259500
116,4,3,3,3,4.0,3.0,1.0,5.0,0.0,4,3,8,2.0,1.0,3.0,3.0,2,0.0,0.0,176000
117,4,3,3,3,3.0,3.0,1.0,1.0,3.0,3,3,8,1.0,1.0,3.0,3.0,2,0.0,0.0,139000
118,4,3,3,3,4.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,155000
119,4,3,3,3,4.0,3.0,2.0,5.0,0.0,4,4,8,3.0,1.0,3.0,3.0,2,0.0,0.0,320000
120,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,163990
121,3,1,3,3,3.0,3.0,4.0,4.0,0.0,5,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,180000
122,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,1,0.0,2.0,100000
123,4,3,3,4,3.0,3.0,1.0,3.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,136000
124,4,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,153900
125,3,3,3,4,4.0,2.0,1.0,0.0,0.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,181000
126,4,3,3,2,3.0,3.0,3.0,5.0,0.0,4,3,8,0.0,0.0,0.0,0.0,0,0.0,0.0,84500
127,3,3,3,3,4.0,3.0,1.0,4.0,0.0,3,3,8,3.0,2.0,3.0,3.0,2,0.0,0.0,128000
128,3,3,3,4,3.0,3.0,1.0,1.0,0.0,5,3,8,3.0,0.0,0.0,0.0,0,0.0,0.0,87000
129,4,3,3,3,3.0,3.0,1.0,3.0,0.0,3,3,8,2.0,2.0,3.0,3.0,2,0.0,0.0,155000
130,4,3,3,3,3.0,3.0,1.0,2.0,3.0,3,5,8,0.0,2.0,3.0,3.0,2,0.0,1.0,150000
131,4,3,3,3,3.0,3.0,1.0,2.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,4.0,226000
132,3,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,3.0,2.0,3.0,3.0,2,0.0,0.0,244000
133,4,3,3,3,3.0,3.0,1.0,2.0,0.0,4,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,150750
134,3,3,4,3,5.0,3.0,1.0,5.0,0.0,5,4,8,0.0,3.0,3.0,3.0,2,0.0,0.0,220000
135,3,3,3,3,3.0,3.0,1.0,2.0,0.0,4,3,7,3.0,2.0,3.0,3.0,2,0.0,2.0,180000
136,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,4.0,1.0,3.0,3.0,2,0.0,2.0,174000
137,3,3,3,3,3.0,3.0,1.0,3.0,0.0,3,3,8,2.0,2.0,3.0,3.0,2,0.0,0.0,143000
138,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,171000
139,3,3,4,3,4.0,3.0,2.0,5.0,0.0,5,4,8,3.0,3.0,3.0,3.0,2,0.0,4.0,230000
140,3,3,3,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,2.0,231500
141,4,3,3,3,3.0,3.0,1.0,4.0,0.0,3,3,8,1.0,0.0,0.0,0.0,2,0.0,0.0,115000
142,4,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,0.0,3.0,3.0,3.0,2,0.0,0.0,260000
143,4,3,3,2,3.0,3.0,1.0,2.0,0.0,2,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,166000
144,3,3,4,3,4.0,3.0,4.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,204000
145,4,3,3,3,3.0,3.0,1.0,2.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,125000
146,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,4,0.0,1.0,3.0,3.0,2,0.0,0.0,130000
147,4,3,3,3,3.0,3.0,1.0,3.0,0.0,3,3,8,0.0,1.0,2.0,3.0,2,0.0,0.0,105000
148,3,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,222500
149,4,3,3,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,0.0,0.0,0.0,2,0.0,0.0,141000
150,4,3,3,3,4.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,2.0,3.0,2,0.0,0.0,115000
151,4,3,3,3,3.0,3.0,3.0,3.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,122000
152,4,3,4,3,5.0,3.0,4.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,372402
153,3,3,3,3,3.0,3.0,1.0,2.0,0.0,4,3,8,4.0,2.0,3.0,3.0,2,0.0,3.0,190000
154,4,3,3,3,4.0,3.0,4.0,3.0,4.0,4,3,8,4.0,2.0,3.0,3.0,2,0.0,0.0,235000
155,4,3,3,3,3.0,3.0,1.0,0.0,0.0,3,3,8,0.0,1.0,2.0,2.0,2,0.0,0.0,125000
156,4,3,3,3,3.0,3.0,1.0,0.0,0.0,2,3,8,0.0,0.0,0.0,0.0,0,0.0,0.0,79000
157,4,3,3,3,0.0,0.0,0.0,0.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,109500
158,4,3,4,3,5.0,3.0,1.0,0.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,269500
159,4,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,3.0,254900
160,3,3,4,3,4.0,3.0,2.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,320000
161,3,3,3,3,4.0,3.0,1.0,3.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,162500
162,3,3,4,3,5.0,3.0,3.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,412500
163,4,3,4,3,4.0,3.0,2.0,3.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,220000
164,4,3,3,3,3.0,3.0,1.0,0.0,0.0,5,3,8,0.0,0.0,0.0,0.0,2,0.0,2.0,103200
165,4,3,3,4,3.0,3.0,2.0,1.0,0.0,4,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,152000
166,4,3,3,4,3.0,3.0,1.0,4.0,2.0,4,3,8,0.0,0.0,0.0,0.0,2,0.0,0.0,127500
167,3,3,4,3,3.0,3.0,1.0,1.0,3.0,5,3,8,4.0,3.0,3.0,3.0,2,0.0,3.0,190000
168,4,3,4,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,325624
169,3,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,8,4.0,3.0,3.0,3.0,2,0.0,0.0,183500
170,3,3,4,3,4.0,3.0,1.0,0.0,0.0,3,3,8,3.0,2.0,3.0,3.0,2,0.0,0.0,228000
171,3,3,3,3,3.0,3.0,1.0,2.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,128500
172,3,3,3,3,3.0,4.0,4.0,3.0,0.0,2,3,8,4.0,3.0,3.0,3.0,1,0.0,0.0,215000
173,3,3,4,4,4.0,4.0,1.0,5.0,2.0,4,4,8,3.0,2.0,4.0,3.0,2,0.0,0.0,239000
174,3,3,3,3,3.0,3.0,1.0,4.0,2.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,163000
175,3,3,3,3,4.0,2.0,1.0,4.0,1.0,3,3,6,3.0,3.0,3.0,3.0,2,0.0,0.0,184000
176,4,3,3,3,3.0,4.0,3.0,4.0,0.0,3,4,8,4.0,1.0,3.0,3.0,2,0.0,2.0,243000
177,3,3,4,3,4.0,3.0,1.0,5.0,0.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,211000
178,4,3,4,4,3.0,3.0,1.0,4.0,3.0,5,4,8,4.0,1.0,3.0,3.0,2,0.0,0.0,172500
179,3,3,5,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,501837
180,4,3,4,3,3.0,3.0,1.0,0.0,0.0,3,3,8,0.0,1.0,2.0,3.0,0,0.0,0.0,100000
181,4,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,3.0,1.0,3.0,3.0,2,0.0,0.0,177000
182,4,3,3,3,2.0,3.0,1.0,1.0,0.0,4,3,8,4.0,1.0,2.0,3.0,2,0.0,0.0,200100
183,4,3,3,3,0.0,0.0,0.0,0.0,0.0,5,3,8,4.0,2.0,3.0,3.0,2,0.0,2.0,120000
184,4,3,3,3,4.0,3.0,1.0,0.0,0.0,5,4,5,0.0,1.0,3.0,3.0,0,0.0,0.0,200000
185,3,3,3,3,2.0,3.0,1.0,0.0,0.0,4,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,127000
186,2,3,4,4,3.0,3.0,2.0,0.0,0.0,5,5,8,3.0,1.0,5.0,3.0,2,0.0,4.0,475000
187,3,3,3,3,4.0,3.0,3.0,5.0,0.0,5,4,8,0.0,1.0,3.0,3.0,2,0.0,4.0,173000
188,4,3,3,3,2.0,3.0,1.0,0.0,0.0,5,3,6,0.0,1.0,2.0,2.0,0,0.0,2.0,135000
189,4,3,3,3,4.0,3.0,3.0,5.0,0.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,153337
190,4,3,4,3,5.0,3.0,3.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,286000
191,4,2,4,3,4.0,4.0,1.0,2.0,0.0,3,4,4,3.0,1.0,3.0,3.0,2,0.0,0.0,315000
192,3,3,3,3,3.0,3.0,1.0,4.0,0.0,4,4,8,0.0,3.0,3.0,3.0,2,0.0,0.0,184000
193,3,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,0.0,3.0,3.0,3.0,2,0.0,0.0,192000
194,4,3,4,3,4.0,3.0,1.0,0.0,0.0,5,4,4,0.0,1.0,3.0,3.0,2,0.0,0.0,130000
195,3,3,3,3,3.0,3.0,3.0,4.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,127000
196,4,3,3,3,4.0,3.0,1.0,4.0,0.0,3,3,8,3.0,1.0,3.0,3.0,2,0.0,0.0,148500
197,4,3,5,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,311872
198,4,3,4,4,3.0,3.0,1.0,5.0,1.0,4,4,8,5.0,1.0,3.0,3.0,2,4.0,4.0,235000
199,4,3,3,3,3.0,3.0,1.0,0.0,0.0,5,3,8,0.0,0.0,0.0,0.0,2,0.0,2.0,104000
200,4,3,4,3,5.0,3.0,3.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,274900
201,4,3,3,3,4.0,3.0,1.0,0.0,0.0,5,3,8,0.0,2.0,3.0,3.0,2,0.0,0.0,140000
202,4,3,3,3,3.0,3.0,1.0,4.0,1.0,3,3,8,2.0,1.0,3.0,3.0,2,0.0,2.0,171500
203,4,3,3,4,2.0,3.0,1.0,1.0,0.0,4,3,7,0.0,1.0,3.0,3.0,2,0.0,0.0,112000
204,4,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,149000
205,4,3,3,3,3.0,3.0,1.0,1.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,1.0,110000
206,4,3,3,3,4.0,3.0,1.0,0.0,0.0,5,3,8,0.0,2.0,3.0,3.0,2,0.0,0.0,180500
207,3,3,3,4,3.0,3.0,1.0,0.0,0.0,3,3,6,3.0,2.0,3.0,3.0,2,0.0,0.0,143900
208,3,3,3,3,3.0,3.0,1.0,4.0,2.0,3,3,8,1.0,2.0,3.0,3.0,2,0.0,3.0,141000
209,3,2,4,3,4.0,3.0,4.0,5.0,0.0,5,3,8,4.0,3.0,3.0,3.0,2,0.0,0.0,277000
210,4,3,3,3,4.0,3.0,1.0,2.0,0.0,5,3,8,0.0,2.0,3.0,4.0,2,0.0,2.0,145000
