Id,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,OverallQual,OverallCond,SalePrice
34,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,5,5,165500
35,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,277500
36,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,309000
37,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,145000
38,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,5,6,153000
39,Reg,Gtl,TA,Gd,TA,TA,No,GLQ,Unf,TA,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,109000
40,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,Fa,Typ,NA,NA,NA,NA,N,NA,NA,4,5,82000
41,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,GdWo,6,5,160000
42,Reg,Gtl,TA,Gd,TA,TA,Gd,BLQ,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,P,NA,NA,5,6,170000
43,IR1,Gtl,TA,TA,Gd,TA,Av,ALQ,LwQ,Gd,Gd,Typ,NA,RFn,TA,Gd,Y,NA,MnPrv,5,7,144000
44,IR1,Gtl,TA,TA,Gd,TA,Av,LwQ,BLQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,130250
45,Reg,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Ex,TA,Typ,NA,RFn,TA,TA,Y,NA,NA,5,6,141000
46,Reg,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,RFn,TA,TA,Y,NA,NA,9,5,319900
47,IR1,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Gd,Typ,Ex,RFn,TA,TA,Y,NA,NA,7,5,239686
48,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,249700
49,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,NA,NA,NA,N,NA,NA,4,5,113000
50,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,7,127000
51,IR2,Gtl,TA,TA,Gd,TA,Av,GLQ,Unf,Gd,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,6,6,177000
52,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,6,6,114500
53,IR2,Mod,Fa,TA,Gd,TA,Gd,LwQ,GLQ,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,110000
54,IR1,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Gd,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,385000
55,Reg,Mod,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Min1,TA,Unf,TA,TA,Y,NA,MnPrv,5,5,130000
56,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,5,180500
57,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,172500
58,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,196500
59,IR2,Gtl,Ex,TA,Ex,TA,Gd,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,10,5,438780
60,Reg,Gtl,TA,TA,TA,TA,Av,ALQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,7,124900
61,Reg,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,Ex,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,6,5,158000
62,Reg,Gtl,TA,TA,TA,Fa,No,Unf,Unf,TA,Fa,Typ,NA,Unf,TA,TA,N,NA,NA,5,7,101000
63,IR1,Gtl,Gd,TA,Gd,Gd,Mn,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,202500
64,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,GdPrv,7,6,140000
65,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,GdPrv,7,5,219500
66,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,317000
67,Reg,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,TA,TA,Min1,Gd,RFn,TA,TA,Y,NA,NA,7,5,180000
68,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,226000
69,Reg,Gtl,TA,Gd,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,6,80000
70,Reg,Gtl,Gd,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,4,225000
71,IR1,Gtl,TA,Gd,Gd,TA,Gd,ALQ,Unf,Ex,TA,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,6,244000
72,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,6,129500
73,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,185000
74,Reg,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,GdWo,5,7,144900
75,Reg,Gtl,Gd,Gd,Fa,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,3,6,107400
76,Reg,Gtl,TA,TA,Gd,TA,Gd,GLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,GdWo,4,5,91000
77,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,7,135750
78,Reg,Gtl,TA,TA,TA,TA,No,BLQ,GLQ,TA,TA,Min1,NA,Unf,TA,TA,Y,NA,MnPrv,5,5,127000
79,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,NA,NA,NA,Y,NA,NA,4,5,136500
80,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,110000
81,Reg,Gtl,TA,Gd,Gd,TA,No,Rec,Unf,TA,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,6,6,193500
82,Reg,Gtl,TA,Gd,Ex,Gd,No,GLQ,Unf,Ex,TA,Typ,NA,Fin,TA,TA,Y,NA,NA,6,5,153500
83,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,245000
84,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,126500
85,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,168500
86,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,8,5,260000
87,IR2,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,6,5,174000
88,Reg,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,164500
89,IR1,Gtl,Fa,Fa,TA,Fa,No,Unf,Unf,TA,Fa,Typ,NA,NA,NA,NA,N,NA,MnPrv,3,2,85000
90,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,NA,NA,NA,NA,Y,NA,NA,4,5,123600
91,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,5,109900
92,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,GdWo,5,3,98600
93,IR1,Gtl,TA,Gd,Gd,TA,No,ALQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,163500
94,Reg,Gtl,TA,TA,TA,Fa,Mn,Rec,Unf,Ex,TA,Typ,Gd,Unf,TA,TA,Y,NA,NA,6,6,133900
95,IR1,Gtl,TA,Gd,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,204750
96,IR2,Gtl,Ex,Gd,Gd,Gd,No,ALQ,Unf,Gd,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,8,185000
97,IR1,Gtl,Gd,TA,Gd,TA,Av,ALQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,214000
98,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,Fin,TA,TA,P,NA,NA,4,5,94750
99,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,TA,Typ,NA,Unf,Fa,TA,Y,NA,NA,5,5,83000
100,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Fa,TA,Typ,NA,NA,NA,NA,Y,NA,NA,4,5,128950
101,IR1,Gtl,TA,TA,TA,TA,Mn,ALQ,Unf,Gd,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,6,7,205000
102,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,TA,Gd,Typ,TA,Fin,TA,TA,Y,NA,NA,6,5,178000
103,Reg,Gtl,TA,Fa,NA,NA,NA,NA,NA,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,118964
104,IR1,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,198900
105,Reg,Gtl,TA,Fa,TA,TA,No,LwQ,Unf,Ex,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,7,4,169500
106,Reg,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,250000
107,Reg,Gtl,TA,TA,Fa,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,Fa,Fa,N,NA,NA,4,7,100000
108,Reg,Gtl,TA,TA,TA,TA,No,ALQ,BLQ,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,115000
109,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,Fa,Typ,NA,NA,NA,NA,N,NA,NA,5,7,115000
110,IR1,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,MnPrv,6,6,190000
111,Reg,Gtl,TA,TA,TA,Fa,No,Rec,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,4,136900
112,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,7,5,180000
113,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,383970
114,Reg,Gtl,TA,Gd,Gd,TA,Mn,ALQ,Rec,TA,Gd,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,6,5,217000
115,IR1,Mod,TA,TA,TA,TA,No,ALQ,LwQ,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,MnPrv,6,8,259500
116,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Gd,TA,Typ,Fa,Unf,TA,TA,Y,NA,NA,6,5,176000
117,Reg,Gtl,TA,TA,TA,TA,No,LwQ,BLQ,TA,TA,Typ,Po,Unf,TA,TA,Y,NA,NA,5,5,139000
118,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,155000
119,Reg,Gtl,TA,TA,Gd,TA,Mn,GLQ,Unf,Gd,Gd,Typ,TA,Unf,TA,TA,Y,NA,NA,7,5,320000
120,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,6,5,163990
121,IR1,Sev,TA,TA,TA,TA,Gd,ALQ,Unf,Ex,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,180000
122,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,P,NA,MnPrv,4,5,100000
123,Reg,Gtl,TA,Gd,TA,TA,No,BLQ,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,136000
124,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,6,5,153900
125,IR1,Gtl,TA,Gd,Gd,Fa,No,Unf,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,181000
126,Reg,Gtl,TA,Fa,TA,TA,Av,GLQ,Unf,Gd,TA,Typ,NA,NA,NA,NA,N,NA,NA,6,8,84500
127,IR1,Gtl,TA,TA,Gd,TA,No,ALQ,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,6,5,128000
128,IR1,Gtl,TA,Gd,TA,TA,No,LwQ,Unf,Ex,TA,Typ,TA,NA,NA,NA,N,NA,NA,5,7,87000
129,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,Fa,RFn,TA,TA,Y,NA,NA,6,5,155000
130,Reg,Gtl,TA,TA,TA,TA,No,Rec,BLQ,TA,Ex,Typ,NA,RFn,TA,TA,Y,NA,MnWw,5,7,150000
131,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,GdPrv,7,6,226000
132,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,6,5,244000
133,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,150750
134,IR1,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,8,5,220000
135,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,TA,Min1,TA,RFn,TA,TA,Y,NA,MnPrv,5,6,180000
136,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,7,6,174000
137,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,Fa,RFn,TA,TA,Y,NA,NA,5,5,143000
138,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,7,5,171000
139,IR1,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Gd,Typ,TA,Fin,TA,TA,Y,NA,GdPrv,8,5,230000
140,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,MnPrv,6,5,231500
141,Reg,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,Po,NA,NA,NA,Y,NA,NA,4,5,115000
142,Reg,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,NA,Fin,TA,TA,Y,NA,NA,7,5,260000
143,Reg,Gtl,TA,Fa,TA,TA,No,Rec,Unf,Fa,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,4,166000
144,IR1,Gtl,Gd,TA,Gd,TA,Gd,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,204000
145,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,125000
146,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Maj1,NA,Unf,TA,TA,Y,NA,NA,6,5,130000
147,Reg,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,Fa,TA,Y,NA,NA,5,7,105000
148,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,222500
149,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,NA,NA,NA,Y,NA,NA,7,5,141000
150,Reg,Gtl,TA,TA,Gd,TA,No,Unf,Unf,Gd,TA,Typ,NA,Unf,Fa,TA,Y,NA,NA,5,4,115000
151,Reg,Gtl,TA,TA,TA,TA,Av,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,122000
152,Reg,Gtl,Gd,TA,Ex,TA,Gd,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,372402
153,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,GdWo,6,5,190000
154,Reg,Gtl,TA,TA,Gd,TA,Gd,BLQ,ALQ,Gd,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,6,7,235000
155,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,Fa,Fa,Y,NA,NA,6,5,125000
156,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,TA,Typ,NA,NA,NA,NA,N,NA,NA,6,5,79000
157,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,109500
158,Reg,Gtl,Gd,TA,Ex,TA,No,Unf,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,269500
159,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,GdWo,7,5,254900
160,IR1,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,320000
161,IR1,Gtl,TA,TA,Gd,TA,No,BLQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,6,6,162500
162,IR1,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,412500
163,Reg,Gtl,Gd,TA,Gd,TA,Mn,BLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,220000
164,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,NA,NA,NA,Y,NA,MnPrv,4,6,103200
165,Reg,Gtl,TA,Gd,TA,TA,Mn,LwQ,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,6,7,152000
166,Reg,Gtl,TA,Gd,TA,TA,No,ALQ,Rec,Gd,TA,Typ,NA,NA,NA,NA,Y,NA,NA,5,7,127500
167,IR1,Gtl,Gd,TA,TA,TA,No,LwQ,BLQ,Ex,TA,Typ,Gd,Fin,TA,TA,Y,NA,GdWo,5,5,190000
168,Reg,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,8,5,325624
169,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Fin,TA,TA,Y,NA,NA,7,5,183500
170,IR1,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,TA,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,8,6,228000
171,IR1,Gtl,TA,TA,TA,TA,No,Rec,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,128500
172,IR1,Gtl,TA,TA,TA,Gd,Gd,BLQ,Unf,Fa,TA,Typ,Gd,Fin,TA,TA,P,NA,NA,6,5,215000
173,IR1,Gtl,Gd,Gd,Gd,Gd,No,GLQ,Rec,Gd,Gd,Typ,TA,RFn,Gd,TA,Y,NA,NA,7,7,239000
174,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Rec,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,163000
175,IR1,Gtl,TA,TA,Gd,Fa,No,ALQ,LwQ,TA,TA,Min2,TA,Fin,TA,TA,Y,NA,NA,6,5,184000
176,Reg,Gtl,TA,TA,TA,Gd,Av,ALQ,Unf,TA,Gd,Typ,Gd,Unf,TA,TA,Y,NA,MnPrv,6,7,243000
177,IR1,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,6,5,211000
178,Reg,Gtl,Gd,Gd,TA,TA,No,ALQ,BLQ,Ex,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,5,5,172500
179,IR1,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,501837
180,Reg,Gtl,Gd,TA,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,Fa,TA,N,NA,NA,5,6,100000
